Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Toledo,Weekly,"2023-01-29 00:00:00",Conventional,0.939699601,146382.67,33574.52,20707.79,4002.60,26863.54,,,
Toledo,Weekly,"2023-01-22 00:00:00",Conventional,0.935927710,141882.90,30750.23,23681.52,7189.97,26161.62,,,
Toledo,Weekly,"2023-01-15 00:00:00",Conventional,0.990670460,149759.01,30174.83,20892.05,12940.74,24961.22,,,
Toledo,Weekly,"2023-01-09 00:00:00",Conventional,0.976691841,133940.41,21584.24,24283.24,4909.65,29908.02,,,
"West Tex/New Mexico",Weekly,"2023-01-29 00:00:00",Conventional,0.796103730,934344.94,243833.74,63741.24,3384.01,347368.31,,,
"West Tex/New Mexico",Weekly,"2023-01-22 00:00:00",Conventional,0.769375810,1013600.66,270958.22,74815.41,3760.61,384516.81,,,
"West Tex/New Mexico",Weekly,"2023-01-15 00:00:00",Conventional,0.827155523,954302.96,234773.43,83244.08,4339.30,361291.04,,,
"West Tex/New Mexico",Weekly,"2023-01-09 00:00:00",Conventional,0.794231284,944779.86,253963.92,79331.18,4190.48,333724.97,,,
Wichita,Weekly,"2023-01-29 00:00:00",Conventional,0.803764061,119356.69,27786.65,4824.12,60.60,33657.67,,,
Wichita,Weekly,"2023-01-22 00:00:00",Conventional,0.817671814,118839.62,26973.78,5199.20,61.43,36389.76,,,
Wichita,Weekly,"2023-01-15 00:00:00",Conventional,0.828549902,119085.48,28452.35,5877.91,91.78,33006.80,,,
Wichita,Weekly,"2023-01-09 00:00:00",Conventional,0.797687226,119417.42,28000.82,6562.03,48.66,31980.06,,,
California,Weekly,"2023-01-29 00:00:00",Conventional,1.105017596,6199148.89,1590082.43,341975.90,108160.17,1334984.95,,,
California,Weekly,"2023-01-22 00:00:00",Conventional,1.274838103,5696077.33,1375944.96,413401.51,119868.78,1242768.58,,,
California,Weekly,"2023-01-15 00:00:00",Conventional,1.309500669,5432486.87,1254240.07,443424.91,107757.15,1254218.59,,,
California,Weekly,"2023-01-09 00:00:00",Conventional,1.162430102,5997016.95,1568327.73,313942.64,147861.97,1228482.28,,,
"Great Lakes",Weekly,"2023-01-29 00:00:00",Conventional,1.006937812,4255830.64,991252.94,562871.66,130980.79,917906.59,,,
